"source_id","source_name","author","title","description","url","url_to_image","published_at","content","top_article","engagement_reaction_count","engagement_comment_count","engagement_share_count","engagement_comment_plugin_count"
"the-new-york-times","The New York Times","Mike Ives","Your Tuesday Briefing","""Boat Fire, Brexit, Naomi Osaka: Here’s what you need to know.""","https://www.nytimes.com/2019/09/03/briefing/boat-fire-brexit-naomi-osaka.html","https://static01.nyt.com/images/2019/09/03/world/03us-ambriefing-bahamas-AMCORE/merlin_160118592_5dd2cc7a-cf8e-4099-b004-44a8c9906fca-facebookJumbo.jpg","2019-09-03T09:48:29Z","""There, the Greek-influenced calendar had only 10 months. A few were named for gods: March for Mars, April for Aphrodite, May for Maia and June for Juno. But the rest were numbered, and some are still with us. October was the eighth month, November the ninth a… [+1049 chars]""",0,1,1,34,0
"cnn","CNN","""Marianne Garvey, CNN""","Kristen Stewart says she was told not to hold hands with her girlfriend in public","Kristen Stewart is opening up about her relationships.","https://www.cnn.com/2019/09/03/entertainment/kristen-stewart-trnd/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190901233514-40b-venice-film-festival-red-carpet-kristen-stewart-super-tease.jpg","2019-09-03T13:40:35Z",null,0,19,2,34,0
"cnn","CNN","""Judson Jones and Brandon Miller, CNN Meteorologists""","Here's what Hurricane Dorian is expected to do as it crawls toward the US","Hurricane Dorian is crawling toward the US. It is forecast to continue to lash Grand Bahama as the hurricane's outer bands move ashore in Florida.\r\n\r\nFollow live updates here","http://us.cnn.com/2019/09/03/weather/major-hurricane-dorian-timeline-florida-georgia-south-carolina/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190903074339-weather-dorian-radar-image-20190903-8p-super-tease.jpg","2019-09-03T12:00:49Z",null,1,0,0,0,0
"abc-news","ABC News","The Associated Press","U of Illinois student arrested after noose found in elevator","""Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.""","https://abcnews.go.com/US/wireStory/illinois-student-arrested-noose-found-elevator-65361782",null,"2019-09-03T17:17:11Z","The University of Illinois says a student has been arrested after a noose was found hanging in an elevator at a residence hall.\r\nThe university and the Champaign County Sheriff's Office says a 19-year-old student was due to be arraigned Tuesday on disorderly … [+453 chars]",0,0,0,0,0
"abc-news","ABC News","The Associated Press","Justice Sotomayor encourages kids to 'Just Ask' in new book","""Supreme Court Justice Sonia Sotomayor is out with a new book for children. It's about children growing up with different life challenges, including autism and blindness.""","https://abcnews.go.com/Entertainment/wireStory/justice-sotomayor-encourages-kids-book-65357732","https://s.abcnews.com/images/Lifestyle/WireAP_abc7627c401045a6a3cb15d2cbbd28f9_16x9_992.jpg","2019-09-03T14:42:43Z","""Supreme Court Justice Sonia Sotomayor has said that the seed for what has become her latest children's book was planted the day a woman called her a drug addict.\r\nSotomayor , who was diagnosed with diabetes at age 7, had gone to the bathroom of an upscale New… [+3619 chars]""",0,0,0,0,0
"reuters","Reuters","Reuters Editorial","UK public must decide next steps if parliament votes against Johnson: PM's spokesman","""Prime Minister Boris Johnson is clear that should lawmakers decide to vote against his government on Tuesday, then the British public should decide who negotiates with the European Union in an election, his spokesman said.""","https://www.reuters.com/article/us-britain-eu-public-idUSKCN1VO239","https://s3.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425818863&w=1200&r=LYNXNPEF821I6","2019-09-03T16:27:26Z","""LONDON (Reuters) - Prime Minister Boris Johnson is clear that should lawmakers decide to vote against his government on Tuesday, then the British public should decide who negotiates with the European Union in an election, his spokesman said. \r\nLawmakers are e… [+715 chars]""",0,0,0,816,0
"bbc-news","BBC News","https://www.facebook.com/bbcnews","Ariana Grande says Forever 21 'stole' name in lawsuit","""The singer is asking for $10m in damages from the US retailer, accusing it of trademark infringement.""","https://www.bbc.co.uk/news/business-49572758","https://ichef.bbci.co.uk/news/1024/branded_news/2A54/production/_108363801_ariana2.jpg","2019-09-03T18:11:18Z","""Image copyrightGetty ImagesImage caption\r\n Ariana Grande\r\nSinger Ariana Grande is asking for $10m (£8.3m) in damages from Forever 21, saying the retailer \""stole her name\"" to promote its clothing and beauty products.\r\nShe said the firm published at least 30 \""u… [+1708 chars]""",0,0,0,3,0
"cbs-news","CBS News","CBS News","How to teach your kids to love reading","""A recent survey found that 20% of kids ages six to 17 did not read any books at all during the summer of 2018. That number has been growing – in 2016, it was 15%. A new book, “How to Raise a Reader,” is working to combat that, by showing the benefits of readi…""","https://www.cbsnews.com/video/how-to-teach-your-kids-to-love-reading/","https://cbsnews2.cbsistatic.com/hub/i/r/2019/09/03/32cddb82-7803-45b7-b748-1378db42e6d6/thumbnail/1200x630/d760e8d8a6156987dc02f04cbbf8f84e/0903-ctm-raiseareaderqa-paul-1925522-640x360.jpg","2019-09-03T13:15:46Z",null,0,22,1,28,0
"newsweek","Newsweek","Phillip Martinez","""Nintendo Direct Predictions: Next 'Smash Ultimate' DLC, 'Pokémon Sword and Shield' Starter Evolutions and More""","Will Banjo-Kazooie release this month?","https://www.newsweek.com/nintendo-direct-predictions-banjo-smash-ultimate-release-date-dlc-pokemon-1457461","https://d.newsweek.com/en/full/1524745/nintendo-direct-predictions-banjo-pokemon-terry.jpg","2019-09-03T17:02:59Z","Nintendo is springing a new Direct on fans this week with a lot of information expected from the 40-minute presentation.\r\nThe company has already announced that Pokémon Sword and Shield and Luigi's Mansion 3 will get the spotlight during the next Nintendo Dir… [+2605 chars]",0,0,0,3,0
"the-new-york-times","The New York Times","Brent Heavener","The Big Dream of a Small Life","""Tiny homes may be getting even tinier, but they aren’t disappearing. A new book by Brent Heavener offers an explanation.""","https://www.nytimes.com/slideshow/2019/09/03/realestate/the-big-dream-of-a-small-life.html","https://static01.nyt.com/images/2019/09/08/realestate/03small1/03small1-facebookJumbo.jpg","2019-09-03T09:13:33Z",null,0,3,0,10,0
